concept_id,concept_name,Keep,hx
40484109,Complex posttraumatic stress disorder,1,PTSD
4053320,Compulsive behavior,0,na
436959,Compulsive gambling,0,na
4084868,Compulsive hoarding,0,na
37116580,Concern about breast appearance,0,na
4037136,Concerned about appearance,0,na
443617,Conduct disorder,0,na
4338038,Conduct disorder - in family context,0,na
4335176,Conduct disorder - unsocialized,0,na
439800,"Conduct disorder, adolescent-onset type",0,na
437843,"Conduct disorder, childhood-onset type",0,na
45767049,Conflicting attitude towards dietary regime,0,na
45767047,Conflicting attitude towards medication management,0,na
381273,Confusional state,0,na
440213,Consciousness and/or awareness finding,0,na
4024715,Consciousness related finding,0,na
436953,Continuous chronic alcoholism,0,na
4009651,"Conversion disorder, single episode",0,na
4233646,Conversion dysphonia,0,na
4229670,Convulsive syncope,0,na
4033047,Cutaneous monosymptomatic delusional psychosis,1,psychosis
440696,Cyclothymia,1,depression
44782932,Cyclothymia in remission,1,depression
42872394,Daytime somnolence,0,na
40481424,Decreased level of consciousness,0,na
4321737,Deferred diagnosis on Axis I,0,na
4174053,Deferred diagnosis on Axis II,0,na
373995,Delirium,0,na
37309681,Delirium due to drug withdrawal,0,na
37209507,Delirium due to opioid withdrawal,0,na
4333669,Delirium of mixed origin,0,na
432590,Delusional disorder,1,psychosis
4246498,"Delusional disorder, mixed type",1,psychosis
4081257,Delusions of parasitosis,1,psychosis
4182210,Dementia,0,na
4228133,Dementia associated with AIDS,0,na
378726,Dementia associated with alcoholism,0,na
374888,Dementia associated with another disease,0,na
37110513,Dementia due to disorder of central nervous system,0,na
40483103,Dementia due to Huntington chorea,0,na
441002,Dementia of frontal lobe type,0,na
43530664,Dementia of the Alzheimer type with behavioral disturbance,0,na
43530666,Dementia with behavioral disturbance,0,na
4165067,Demoralization,0,na
437523,Dependent personality disorder,0,na
4194953,Depersonalization,0,na
437244,Depersonalization disorder,0,na
4338035,Depersonalization-derealization syndrome,0,na
441836,Depressed bipolar I disorder,1,bipolar
435225,Depressed bipolar I disorder in full remission,1,bipolar
4177651,Depressed bipolar I disorder in partial remission,1,bipolar
4201739,Depressed bipolar I disorder in remission,1,bipolar
40546087,Depressed mood,1,depression
440383,Depressive disorder,1,depression
37018656,Depressive disorder in mother complicating pregnancy,0,na
44782943,Depressive disorder in remission,1,depression
3656234,Depressive episode,1,depression
133285,Dermatitis factitia,0,na
4085156,Developmental academic disorder,0,na
434340,Developmental arithmetic disorder,0,na
440388,Developmental coordination disorder,0,na
4163988,Developmental expressive writing disorder,0,na
4043545,Developmental mental disorder,0,na
433759,Developmental reading disorder,0,na
4110298,Difficulty controlling anger,0,na
4113953,Difficulty controlling emotions,0,na
4311857,Difficulty managing stress,0,na
4115402,Difficulty sleeping,0,na
42537692,Disorder caused by cannabis,0,na
37311994,Disorder caused by dissociative drug,0,na
37311993,Disorder caused by stimulant,0,na
4212760,Disorder of form of thought,0,na
4102986,Disorder of psychological development,0,na
4081256,Disorders of cutaneous image and perception,0,na
4108537,Disorders of excessive somnolence,0,na
441828,Disorganized schizophrenia,1,schizo
42539616,Disorganized thinking,0,na
4268911,Disorientated,0,na
437259,Disruptive behavior disorder,0,na
37396201,Disruptive mood dysregulation disorder,0,na
4117368,Dissociation - mental defense mechanism,0,na
4098316,Dissociative convulsions,0,na
434889,Dissociative disorder,0,na
4085534,Dissociative hallucinations,0,na
4150799,Dissociative motor disorder,0,na
42539544,Dissociative neurological symptom disorder,0,na
4077963,Dissociative stupor,0,na
4085651,Dissociative tactile hallucinations,0,na
4268637,Distorted body image,0,na
4305072,Disturbance in affect,0,na
4167815,Disturbance in mood,0,na
4188040,Disturbance in structure of associations,0,na
4328349,Disturbance of attention,0,na
376961,Disturbance of consciousness,0,na
4269569,Disturbance of perception associated with conversion and dissociative phenomenon,0,na
4035681,Disturbed sensory perception,0,na
4009184,Dream anxiety disorder,0,na
4268544,Drive - finding,0,na
4152347,Drowsy,0,na
373172,Drug-induced amnestic syndrome,0,na
373449,Drug-induced delirium,0,na
443559,Drug-induced delusional disorder,0,na
376095,Drug-induced dementia,0,na
4103126,Drug-induced depressive state,0,na
440987,Drug-induced hallucinosis,0,na
436079,Drug-induced mood disorder,0,na
4101142,Drug-induced paranoia or hallucinatory states,0,na
4100362,Drug-induced personality disorder,0,na
434900,Drug-induced psychosis,0,na
4044061,Drug-induced tic,0,na
4148767,Dysphoric mood,1,depression
433440,Dysthymia,1,depression
44782432,Early onset Alzheimer's disease with behavioral disturbance,0,na
439002,Eating disorder,0,na
4144892,Eating disorder in remission,0,na
4152074,Effort syncope,0,na
4217365,Elective mutism,0,na
4274115,Emotional adjustment - finding,0,na
4305081,Emotional problems,0,na
4025215,Emotional state finding,0,na
40483106,Emotional stress,0,na
439791,Emotional upset,0,na
4103399,Emotionally unstable personality disorder,0,na
4114950,Endogenous depression,1,depression
435532,Episodic chronic alcoholism,0,na
44784632,Episodic mood disorder,0,na
4091702,Examination phobia,0,na
4187714,Excessive somnolence,0,na
437840,Exhibitionism,0,na
432611,Explosive personality disorder,0,na
4268240,Expression of emotions - finding,0,na
4047760,Facial tic disorder,0,na
440984,Factitious disorder,0,na
433993,Factitious disorder with combined physical AND psychological symptoms,0,na
4334472,Factitious disorder with predominantly physical signs and symptoms,0,na
443604,Factitious disorder with predominantly psychological signs and symptoms,0,na
4029621,Fear,0,na
37018227,Fear about medication side effects,0,na
4120383,Fear associated with healthcare,0,na
4085063,Fear associated with illness and body function,0,na
4092242,Fear of activities in public,0,na
4084712,Fear of animals,0,na
4009714,Fear of blood,0,na
43020470,Fear of bridges,0,na
4084701,Fear of choking,0,na
4084717,Fear of contracting disease,0,na
36716892,Fear of ear disease,0,na
4270017,Fear of falling,0,na
4085062,Fear of flying,0,na
4077954,Fear of heights,0,na
36716893,Fear of hematological disease,0,na
43020471,Fear of injury,0,na
4023785,Fear of insects,0,na
44783317,Fear of medical treatment,0,na
4085678,Fear of natural phenomena,0,na
4092616,Fear of needles,0,na
36716889,Fear of nutritional disease,0,na
4092243,Fear of public speaking,0,na
4025952,Fear of thunderstorm,0,na
4272256,Fearful mood,0,na
4086746,Feeling agitated,0,na
4327815,Feeling angry,0,na
4087467,Feeling faint,0,na
4184149,Feeling irritable,0,na
4147192,Feeling lonely,0,na
436817,Feeling nervous,0,na
4074628,Feeling stressed,0,na
4021339,Feeling suicidal,0,na
4169106,Feeling unhappy,0,na
4076636,Feeling upset,0,na
437531,Fetishism,0,na
43021197,Fetishistic transvestism,0,na
4084730,Fidgeting,0,na
4268247,Finding related to ability to control anger,0,na
4272714,Finding related to ability to control emotions,0,na
4271387,Finding related to ability to sleep,0,na
4254485,Finding related to attentiveness,0,na
4275360,Finding related to awareness of self,0,na
4150852,Finding related to orientation,0,na
4276724,Finding related to self-esteem,0,na
4022133,Finding relating to grief and dying,0,na
4041273,Finding relating to self-concept,0,na
4148937,Flashbacks,0,na
4085680,Flying phobia,0,na
436803,Fragile X syndrome,0,na
377842,Frontal lobe syndrome,0,na
4269780,Frotteurism,0,na
435795,Fugue,0,na
4093833,Funny turn,0,na
4246663,Gender dysphoria,0,na
37108765,Gender dysphoria in adolescence and adulthood,0,na
37117130,Gender dysphoria in childhood,0,na
4338512,Gender identity disorder,0,na
443625,Gender identity disorder of adulthood,0,na
436381,Gender identity disorder of childhood,0,na
4268834,General mental state finding,0,na
377788,General paresis - neurosyphilis,0,na
434613,Generalized anxiety disorder,1,anxiety
4268775,Generalized social phobia,1,anxiety
379782,Gilles de la Tourette's syndrome,0,na
4333681,Globus abdominalis,0,na
4075831,Grief finding,0,na
4266301,Grieving process stage - finding,0,na
4012108,Gynephobia,0,na
4299571,Habit tic,0,na
4291439,Habit tic affecting skin,0,na
433031,Hallucinations,1,psychosis
4176286,Hallucinogen delusional disorder,0,na
4137955,Hallucinogen hallucinosis,0,na
4173746,Hallucinogen intoxication,0,na
4236877,Hallucinogen intoxication delirium,0,na
4029464,Hallucinogen mood disorder,0,na
4035299,Hallucinogen-induced anxiety disorder,0,na
4203152,Hallucinogen-induced organic mental disorder,0,na
140586,Heat syncope,0,na
4085029,Heightened auditory perception,0,na
4084552,Heightened perception,0,na
4138543,Hemi-neglect,0,na
45765723,High-functioning autism,0,na
440369,Histrionic personality disorder,0,na
378163,Hyperacusis,0,na
36685164,Hyperacusis of left ear,0,na
36685235,Hyperacusis of right ear,0,na
4128822,Hyperesthesia of special senses,0,na
437261,Hyperkinesis with developmental delay,0,na
438132,Hyperkinetic conduct disorder,0,na
4252239,Hypersexuality state,0,na
436669,Hypersomnia disorder related to another mental disorder,0,na
4264363,Hypnagogic hallucinations,0,na
4288173,Hypnapompic hallucinations,0,na
434920,Hypochondriasis,0,na
4333678,Hypomania,1,bipolar
441843,Hypomanic personality disorder,0,na
4240219,Hypotensive syncope,0,na
4281692,Identity disorder,0,na
43020452,Identity disorder of childhood,0,na
37117155,Illness anxiety disorder,1,anxiety
4201304,Illusions,0,na
45767114,Impairment of mental alertness,0,na
433752,Impulse control disorder,0,na
4117518,Impulsive character,0,na
4318665,Inattention,0,na
4048933,Increased stress,0,na
4071366,Indifference,0,na
436952,Induced psychotic disorder,0,na
4254211,Infantile autism,0,na
4232492,Inhalant-induced mood disorder,0,na
4264889,Inhalant-induced organic mental disorder,0,na
4139421,Inhalant-induced persisting dementia,0,na
442749,Inhibited female orgasm,0,na
444268,Inhibited male orgasm,0,na
37016173,Insomnia caused by alcohol,0,na
439013,Insomnia disorder related to another mental disorder,0,na
763092,Insomnia due to anxiety and fear,0,na
40277917,Intellectual disability,0,na
4085732,Intermittent confusion,0,na
4199932,Intermittent drowsiness,0,na
440989,Intermittent explosive disorder,0,na
440091,Introverted personality disorder,0,na
4168681,Irritability and anger,0,na
438746,Isolated explosive disorder,0,na
4031884,Kinesthetic alteration,0,na
434632,Kleptomania,0,na
4288013,Korsakoff's psychosis,1,psychosis
4229115,Labile affect,0,na
4247372,Lack of awareness,0,na
4021796,Lack of emotional response,0,na
443262,Lack or loss of sexual desire,0,na
4057218,Late onset dysthymia,1,depression
433742,Latent schizophrenia,1,schizo
432300,Latent schizophrenia in remission,1,schizo
40480879,Lethal catatonia,1,schizo
4117364,Level of anxiety,0,na
4276722,Level of consciousness - finding,0,na
4268551,Level of interest - finding,0,na
4297376,Lightheadedness,0,na
4208544,Loosening of associations,0,na
4079163,Loss of body image,0,na
372448,Loss of consciousness,0,na
4096912,Low motivation,0,na
4120401,Low self-esteem,0,na
4194065,Lowe syndrome,0,na
4269493,Major depression in full remission,1,depression
4148630,Major depression in partial remission,1,depression
4176002,Major depression in remission,1,depression
4323418,"Major depression single episode, in partial remission",1,depression
37111697,Major depression with psychotic features,1,depression
4154391,"Major depression, melancholic type",1,depression
4282096,"Major depression, single episode",1,depression
4152280,Major depressive disorder,1,depression
4333677,Mania,1,bipolar
35610112,Mania with psychotic features,1,bipolar
4287544,Manic bipolar I disorder,1,bipolar
436086,Manic bipolar I disorder in full remission,1,bipolar
442600,Manic bipolar I disorder in partial remission,1,bipolar
4166701,Manic bipolar I disorder in remission,1,bipolar
443237,"Manic disorder, single episode",1,bipolar
4333685,Manipulative personality disorder,0,na
4133073,Maternity blues,0,na
4223090,Menopausal depression,1,depression
4275359,Mental alertness - finding,0,na
4269985,Mental defense mechanism finding,0,na
432586,Mental disorder,0,na
